"Query String","Search Type","Search Result","Search Result Message","Canonical SMILES","MolPort ID","Verified amount (mg)","Unverified amount (mg)","Link"
"O=C(C(n1cccn1)C)NCc1ccnc(c1)N1CCCCCC1","EXACT","FOUND","Search completed!","CC(C(=O)NCc1ccnc(c1)N1CCCCCC1)n1cccn1","MolPort-020-040-521",100,100,"https://www.molport.com/shop/molecule-link/MolPort-020-040-521"
"O=C(Nc1ccc(cc1Br)[N+](=O)[O-])CN1C(=O)c2c(C1=O)cccc2","EXACT","FOUND","Search completed!","[O-][N+](=O)c1ccc(NC(=O)CN2C(=O)c3ccccc3C2=O)c(Br)c1","MolPort-002-711-870",50,50,"https://www.molport.com/shop/molecule-link/MolPort-002-711-870"
"O=C(c1cccc(c1C)[N+](=O)[O-])NCCCc1ccccc1","EXACT","FOUND","Search completed!","Cc1c(cccc1[N+]([O-])=O)C(=O)NCCCc1ccccc1","MolPort-001-539-966",300,300,"https://www.molport.com/shop/molecule-link/MolPort-001-539-966"
"COc1ccc(cc1)NC(=O)c1cc(oc1C)c1ccc(cc1[N+](=O)[O-])Cl","EXACT","FOUND","Search completed!","COc1ccc(NC(=O)c2cc(oc2C)-c2ccc(Cl)cc2[N+]([O-])=O)cc1","MolPort-000-638-847",50,50,"https://www.molport.com/shop/molecule-link/MolPort-000-638-847"
"Fc1ccc(cc1)c1c[n+](c2n1CCS2)c1ccccc1.[Br-]","EXACT","FOUND","Search completed!","O.[Br-].Fc1ccc(cc1)-c1c[n+](c2SCCn12)-c1ccccc1","MolPort-000-716-775",200,200,"https://www.molport.com/shop/molecule-link/MolPort-000-716-775"
"Clc1ccccc1c1nnc2n1[nH]/c(=C/Cc1ccccc1)/s2","EXACT","FOUND","Search completed!","Clc1ccccc1-c1nnc2sc(CCc3ccccc3)nn12","MolPort-002-272-146",50,50,"https://www.molport.com/shop/molecule-link/MolPort-002-272-146"
"CCOC(=O)c1nc(Nc2ccc(cc2)Cl)c2c(n1)onc2C","EXACT","FOUND","Search completed!","CCOC(=O)c1nc(Nc2ccc(Cl)cc2)c2c(C)noc2n1","MolPort-007-867-000",20,20,"https://www.molport.com/shop/molecule-link/MolPort-007-867-000"
"O=C(N[C@H](C(=O)O)Cc1c[nH]c2c1cccc2)COc1ccc2c(c1C)oc(=O)c(c2C)C","EXACT","FOUND","Search completed!","Cc1c(OCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(O)=O)ccc2c(C)c(C)c(=O)oc12","MolPort-002-517-254",1100,1100,"https://www.molport.com/shop/molecule-link/MolPort-002-517-254"
"O=C(NC1CC1)CCc1onc(n1)c1ccc(cc1)C","EXACT","FOUND","Search completed!","Cc1ccc(cc1)-c1noc(CCC(=O)NC2CC2)n1","MolPort-003-336-506",100,100,"https://www.molport.com/shop/molecule-link/MolPort-003-336-506"
"COCCn1cnc2c1c(=O)n(Cc1c(F)cccc1Cl)c(=O)n2Cc1ccccc1","EXACT","FOUND","Search completed!","COCCn1cnc2n(Cc3ccccc3)c(=O)n(Cc3c(F)cccc3Cl)c(=O)c12","MolPort-004-085-800",100,100,"https://www.molport.com/shop/molecule-link/MolPort-004-085-800"
"FC(Oc1ccccc1NC(=O)c1ccc(cc1)C)F","EXACT","FOUND","Search completed!","Cc1ccc(cc1)C(=O)Nc1ccccc1OC(F)F","MolPort-000-754-460",400,400,"https://www.molport.com/shop/molecule-link/MolPort-000-754-460"
"O=NN(c1ccccn1)C","EXACT","FOUND","Search completed!","CN(N=O)c1ccccn1","MolPort-047-348-422",10000,10000,"https://www.molport.com/shop/molecule-link/MolPort-047-348-422"
"Cc1scc(n1)CN1CCOCC2(C1)CCN(C2)c1ccccn1","EXACT","FOUND","Search completed!","OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Cc1nc(CN2CCOCC3(CCN(C3)c3ccccn3)C2)cs1","MolPort-047-660-911",0,25,"https://www.molport.com/shop/molecule-link/MolPort-047-660-911"
"COC(=O)c1ccc(cc1)NC(=O)C1(C)CC2c3c(C1c1c2cccc1)cccc3","EXACT","FOUND","Search completed!","COC(=O)c1ccc(NC(=O)C2(C)CC3c4ccccc4C2c2ccccc32)cc1","MolPort-001-940-227",30,30,"https://www.molport.com/shop/molecule-link/MolPort-001-940-227"
"COc1ccc(c(c1)c1nn(cc1C(=O)NCC(c1cccs1)N1CCOCC1)c1ccccc1)OC","EXACT","FOUND","Search completed!","COc1ccc(OC)c(c1)-c1nn(cc1C(=O)NCC(N1CCOCC1)c1cccs1)-c1ccccc1","MolPort-005-728-575",200,200,"https://www.molport.com/shop/molecule-link/MolPort-005-728-575"
"COc1ccccc1CNC(=O)Cn1cccc1C(=O)c1ccccc1","EXACT","FOUND","Search completed!","COc1ccccc1CNC(=O)Cn1cccc1C(=O)c1ccccc1","MolPort-007-675-924",30,30,"https://www.molport.com/shop/molecule-link/MolPort-007-675-924"
"NNC(=O)c1ccc(cc1)COc1cccc2c1cccc2","EXACT","FOUND","Search completed!","NNC(=O)c1ccc(COc2cccc3ccccc23)cc1","MolPort-000-825-907",300,300,"https://www.molport.com/shop/molecule-link/MolPort-000-825-907"
"COc1cc(ccc1OC)NC(=O)CCCCCn1nnc2c(c1=O)cccc2","EXACT","FOUND","Search completed!","COc1ccc(NC(=O)CCCCCn2nnc3ccccc3c2=O)cc1OC","MolPort-002-651-163",300,300,"https://www.molport.com/shop/molecule-link/MolPort-002-651-163"
"O=C(c1ccc(cc1)NC(=O)c1cccc(c1C)[N+](=O)[O-])Nc1ccccc1","EXACT","FOUND","Search completed!","Cc1c(cccc1[N+]([O-])=O)C(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1","MolPort-001-970-342",50,50,"https://www.molport.com/shop/molecule-link/MolPort-001-970-342"
"NNC(=O)C12CC3(C)CC(C2)(CC(C1)(C3)C)C","EXACT","FOUND","Search completed!","CC12CC3(C)CC(C)(C1)CC(C2)(C3)C(=O)NN","MolPort-002-133-792",200,200,"https://www.molport.com/shop/molecule-link/MolPort-002-133-792"
"CSc1ccccc1NS(=O)(=O)c1ccccc1F","EXACT","FOUND","Search completed!","CSc1ccccc1NS(=O)(=O)c1ccccc1F","MolPort-004-084-674",100,100,"https://www.molport.com/shop/molecule-link/MolPort-004-084-674"
"O=C(NC1CCCc2c1cccc2)CCC(=O)N1CCN(CC1)S(=O)(=O)c1ccccc1","EXACT","FOUND","Search completed!","O=C(CCC(=O)N1CCN(CC1)S(=O)(=O)c1ccccc1)NC1CCCc2ccccc12","MolPort-028-827-351",100,100,"https://www.molport.com/shop/molecule-link/MolPort-028-827-351"
"O=C(Nc1ccc(c(c1)Cl)C)CSc1nc(=O)n(c2c1CCC2)Cc1ccncc1","EXACT","FOUND","Search completed!","Cc1ccc(NC(=O)CSc2nc(=O)n(Cc3ccncc3)c3CCCc23)cc1Cl","MolPort-003-157-841",100,100,"https://www.molport.com/shop/molecule-link/MolPort-003-157-841"
"CC(CNC(c1ccccc1)CC(=O)O)C","EXACT","FOUND","Search completed!","CC(C)CNC(CC(O)=O)c1ccccc1","MolPort-002-726-669",800,800,"https://www.molport.com/shop/molecule-link/MolPort-002-726-669"
"COCc1cccc(c1)CNCc1c(C)nn(c1N(C)C)C","EXACT","FOUND","Search completed!","COCc1cccc(CNCc2c(C)nn(C)c2N(C)C)c1","MolPort-009-586-496",100,100,"https://www.molport.com/shop/molecule-link/MolPort-009-586-496"
"Fc1ccc(cc1)CN1CCCN(CC1)Cc1ncsc1","EXACT","FOUND","Search completed!","Fc1ccc(CN2CCCN(Cc3cscn3)CC2)cc1","MolPort-020-108-036",50,50,"https://www.molport.com/shop/molecule-link/MolPort-020-108-036"
"O=C(C(C)C)Nc1ccc2c(c1)nc(o2)c1ccc(cc1)F","EXACT","FOUND","Search completed!","CC(C)C(=O)Nc1ccc2oc(nc2c1)-c1ccc(F)cc1","MolPort-007-699-300",50,50,"https://www.molport.com/shop/molecule-link/MolPort-007-699-300"
"c1ccc(cc1)Cn1c(nc2c1cccc2)c1ccccn1","EXACT","FOUND","Search completed!","C(c1ccccc1)n1c(nc2ccccc12)-c1ccccn1","MolPort-001-900-047",1,20,"https://www.molport.com/shop/molecule-link/MolPort-001-900-047"
"S=C(N1CCN(CC1)Cc1ccccc1)NCCc1ccccc1.OC(=O)C(=O)O","EXACT","FOUND","Search completed!","S=C(NCCc1ccccc1)N1CCN(Cc2ccccc2)CC1","MolPort-001-998-618",50,50,"https://www.molport.com/shop/molecule-link/MolPort-001-998-618"
"OC(CN1CCc2c(C1)cccc2)COCc1ccc(cc1)Cl","EXACT","FOUND","Search completed!","Cl.OC(COCc1ccc(Cl)cc1)CN1CCc2ccccc2C1","MolPort-002-118-780",800,800,"https://www.molport.com/shop/molecule-link/MolPort-002-118-780"
"CCN(c1ccc(cc1Br)C=C(c1ccc(c(c1)OC)OC)C#N)CC","ISOMER","FOUND","Search completed!","CCN(CC)c1ccc(\C=C(/C#N)c2ccc(OC)c(OC)c2)cc1Br","MolPort-003-182-983",10,10,"https://www.molport.com/shop/molecule-link/MolPort-003-182-983"
"CCOc1cc([N+](=O)[O-])c2c(c1)C1C=CCC1C(N2)C(C)C","EXACT","FOUND","Search completed!","CCOc1cc2C3C=CCC3C(Nc2c(c1)[N+]([O-])=O)C(C)C","MolPort-001-948-750",100,100,"https://www.molport.com/shop/molecule-link/MolPort-001-948-750"
"COCCn1c(SCC(=O)Nc2ccccc2)nc2c(c1=O)oc1c2cccc1","EXACT","FOUND","Search completed!","COCCn1c(SCC(=O)Nc2ccccc2)nc2c3ccccc3oc2c1=O","MolPort-003-070-607",300,300,"https://www.molport.com/shop/molecule-link/MolPort-003-070-607"
